162540 13816 10
Training RMSE: 1.058569, Test RMSE 1.058615
Training RMSE: 1.058304, Test RMSE 1.058511
Training RMSE: 1.057819, Test RMSE 1.058174
Training RMSE: 1.056318, Test RMSE 1.056847
Training RMSE: 1.050827, Test RMSE 1.051644
Training RMSE: 1.033564, Test RMSE 1.035029
Training RMSE: 1.000945, Test RMSE 1.003631
Training RMSE: 0.964757, Test RMSE 0.968909
Training RMSE: 0.934744, Test RMSE 0.940326
Training RMSE: 0.913108, Test RMSE 0.919948
Training RMSE: 0.897665, Test RMSE 0.905445
Training RMSE: 0.886054, Test RMSE 0.894751
Training RMSE: 0.876995, Test RMSE 0.886371
Training RMSE: 0.869548, Test RMSE 0.879618
Training RMSE: 0.863217, Test RMSE 0.873939
Training RMSE: 0.857555, Test RMSE 0.868947
Training RMSE: 0.852346, Test RMSE 0.864448
Training RMSE: 0.847538, Test RMSE 0.860337
Training RMSE: 0.843034, Test RMSE 0.856554
Training RMSE: 0.838801, Test RMSE 0.853059
Training RMSE: 0.834670, Test RMSE 0.849693
Training RMSE: 0.830811, Test RMSE 0.846499
Training RMSE: 0.827146, Test RMSE 0.843529
Training RMSE: 0.823572, Test RMSE 0.840683
Training RMSE: 0.820252, Test RMSE 0.838173
Training RMSE: 0.817087, Test RMSE 0.835683
Training RMSE: 0.813948, Test RMSE 0.833263
Training RMSE: 0.811068, Test RMSE 0.831113
Training RMSE: 0.808279, Test RMSE 0.829061
Training RMSE: 0.805596, Test RMSE 0.827130
Training RMSE: 0.803031, Test RMSE 0.825254
Training RMSE: 0.800515, Test RMSE 0.823485
Training RMSE: 0.798212, Test RMSE 0.821899
Training RMSE: 0.795874, Test RMSE 0.820335
Training RMSE: 0.793703, Test RMSE 0.818823
Training RMSE: 0.791587, Test RMSE 0.817446
Training RMSE: 0.789604, Test RMSE 0.816066
Training RMSE: 0.787561, Test RMSE 0.814753
Training RMSE: 0.785647, Test RMSE 0.813550
Training RMSE: 0.783826, Test RMSE 0.812334
Training RMSE: 0.782071, Test RMSE 0.811192
Training RMSE: 0.780322, Test RMSE 0.810120
Training RMSE: 0.778763, Test RMSE 0.809158
Training RMSE: 0.777133, Test RMSE 0.808107
Training RMSE: 0.775627, Test RMSE 0.807212
Training RMSE: 0.774194, Test RMSE 0.806342
Training RMSE: 0.772765, Test RMSE 0.805534
Training RMSE: 0.771474, Test RMSE 0.804753
Training RMSE: 0.770088, Test RMSE 0.803901
Training RMSE: 0.768913, Test RMSE 0.803187
